Vitamin C (mg per 100g),Vitamin B11 (mg per 100g),Sodium (mg per 100g),Calcium (mg per 100g),Carbohydrates (g per 100g),food,Iron (mg per 100g),Calories (kcal per 100g),Sugars (g per 100g),Dietary Fiber (g per 100g),Fat (g per 100g),Protein (g per 100g),food_normalized
0.0,0.099,0.071,6.9,4.4,cashew butter,0.8,94.0,0.8,0.3,7.9,2.8,cashew butter
0.0,0.0,0.0,0.088,0.0,canola oil,0.0,124.0,0.0,0.0,14.0,0.0,canola oil
0.0,0.0,0.0,0.0,0.0,babassu oil,0.0,1927.0,0.0,0.0,218.0,0.0,babassu oil
0.0,0.0,0.0,0.0,0.0,teaseed oil,0.0,120.0,0.0,0.0,13.6,0.0,teaseed oil
0.0,0.0,0.0,0.0,0.0,avocado oil,0.0,124.0,0.0,0.0,14.0,0.0,avocado oil
0.0,0.0,0.0,0.0,0.0,vegetable palm kernel oil,0.0,117.0,0.0,0.0,13.6,0.0,vegetable palm kernel oil
0.0,0.0,0.0,0.029,0.0,coconut oil,0.0,117.0,0.0,0.0,13.6,0.0,coconut oil
0.0,0.0,0.0,0.0,0.0,safflower oil,0.0,120.0,0.0,0.0,13.6,0.0,safflower oil
0.0,0.0,0.0,0.073,0.0,vegetable oil,0.0,120.0,0.0,0.0,13.6,0.0,vegetable oil
0.0,0.0,0.0,0.0,0.0,apricot kernel oil,0.0,40.0,0.0,0.0,4.5,0.0,apricot kernel oil
0.0,0.0,0.0,0.0,0.0,peanut oil,0.004,119.0,0.0,0.0,13.5,0.0,peanut oil
0.0,0.0,0.0,0.0,0.0,poppyseed oil,0.0,120.0,0.0,0.0,13.6,0.0,poppyseed oil
0.0,0.0,0.0,0.1,0.0,flaxseed oil,0.0,120.0,0.0,0.0,13.6,0.086,flaxseed oil
0.0,0.0,0.0,0.0,0.0,tomatoseed oil,0.0,1927.0,0.0,0.0,218.0,0.0,tomatoseed oil
0.0,0.0,0.0,0.0,0.0,wheat germ oil,0.0,120.0,0.0,0.0,13.6,0.0,wheat germ oil
0.0,0.0,0.0,0.0,0.0,sesame oil,0.0,40.0,0.0,0.0,4.5,0.0,sesame oil
0.0,0.0,0.0,0.0,0.0,corn granola oil,0.0,124.0,0.0,0.0,14.0,0.0,corn granola oil
0.0,0.0,0.0,0.0,0.0,cocoa butter oil,0.0,120.0,0.0,0.0,13.6,0.0,cocoa butter oil
0.0,0.0,0.004,0.1,0.0,olive oil,0.092,119.0,0.0,0.0,13.5,0.0,olive oil
